id,title,domain,seniority,experience_required,required_skills,employment_type,work_arrangement
job_0,Entry Full-Stack Engineer,Full-Stack,Entry,0-2,"['Express', 'Node.js', 'React']",Full-time,Hybrid
job_1,Mid Backend Engineer,Backend,Mid,3-5,"['Node.js', 'Python', 'Express']",Contract,On-site
job_2,Entry Data Engineer,Data,Entry,0-2,"['Scikit-learn', 'NumPy', 'Pandas']",Contract,Hybrid
job_3,Principal Backend Engineer,Backend,Principal,10+,"['Python', 'JavaScript', 'Express']",Full-time,Remote
job_4,Mid Full-Stack Engineer,Full-Stack,Mid,3-5,"['Node.js', 'Express', 'React']",Full-time,On-site
job_5,Principal Full-Stack Engineer,Full-Stack,Principal,10+,"['Node.js', 'Angular', 'React']",Contract,On-site
job_6,Mid Frontend Engineer,Frontend,Mid,3-5,"['Angular', 'React', 'Vue.js']",Full-time,Remote
job_7,Principal Frontend Engineer,Frontend,Principal,10+,"['Vue.js', 'Angular', 'React']",Contract,Hybrid
job_8,Principal DevOps Engineer,DevOps,Principal,10+,"['Kubernetes', 'AWS', 'Docker']",Contract,On-site
job_9,Entry Data Engineer,Data,Entry,0-2,"['Pandas', 'Scikit-learn', 'NumPy']",Full-time,Remote
job_10,Principal Backend Engineer,Backend,Principal,10+,"['JavaScript', 'Python', 'Node.js']",Contract,Hybrid
job_11,Senior Data Engineer,Data,Senior,6-10,"['Scikit-learn', 'Pandas', 'NumPy']",Contract,Hybrid
job_12,Mid Backend Engineer,Backend,Mid,3-5,"['Node.js', 'JavaScript', 'Python']",Full-time,Remote
job_13,Mid Full-Stack Engineer,Full-Stack,Mid,3-5,"['Express', 'Node.js', 'Angular']",Full-time,On-site
job_14,Entry Data Engineer,Data,Entry,0-2,"['Scikit-learn', 'Pandas', 'NumPy']",Full-time,Hybrid
job_15,Mid Data Engineer,Data,Mid,3-5,"['Pandas', 'Scikit-learn', 'NumPy']",Full-time,Hybrid
job_16,Mid Data Engineer,Data,Mid,3-5,"['Scikit-learn', 'Pandas', 'NumPy']",Full-time,Remote
job_17,Principal Backend Engineer,Backend,Principal,10+,"['JavaScript', 'Node.js', 'Python']",Full-time,Remote
job_18,Entry Frontend Engineer,Frontend,Entry,0-2,"['Angular', 'React', 'Vue.js']",Contract,On-site
job_19,Senior Frontend Engineer,Frontend,Senior,6-10,"['Vue.js', 'React', 'Angular']",Full-time,Hybrid
job_20,Entry Backend Engineer,Backend,Entry,0-2,"['JavaScript', 'Python', 'Node.js']",Contract,On-site
job_21,Principal DevOps Engineer,DevOps,Principal,10+,"['Docker', 'Kubernetes', 'AWS']",Contract,Hybrid
job_22,Mid DevOps Engineer,DevOps,Mid,3-5,"['AWS', 'Docker', 'Kubernetes']",Full-time,Remote
job_23,Principal Data Engineer,Data,Principal,10+,"['Scikit-learn', 'Pandas', 'NumPy']",Contract,On-site
job_24,Senior DevOps Engineer,DevOps,Senior,6-10,"['AWS', 'Kubernetes', 'Docker']",Contract,Hybrid
job_25,Principal Frontend Engineer,Frontend,Principal,10+,"['Angular', 'Vue.js', 'React']",Full-time,Remote
job_26,Principal Frontend Engineer,Frontend,Principal,10+,"['Angular', 'React', 'Vue.js']",Contract,Hybrid
job_27,Mid Backend Engineer,Backend,Mid,3-5,"['JavaScript', 'Node.js', 'Python']",Contract,Hybrid
job_28,Senior Backend Engineer,Backend,Senior,6-10,"['JavaScript', 'Python', 'Express']",Full-time,On-site
job_29,Mid Frontend Engineer,Frontend,Mid,3-5,"['React', 'Vue.js', 'Angular']",Full-time,Hybrid
job_30,Entry Backend Engineer,Backend,Entry,0-2,"['JavaScript', 'Python', 'Node.js']",Full-time,Hybrid
job_31,Mid Frontend Engineer,Frontend,Mid,3-5,"['React', 'Angular', 'Vue.js']",Full-time,On-site
job_32,Mid Full-Stack Engineer,Full-Stack,Mid,3-5,"['React', 'Express', 'Node.js']",Full-time,Remote
job_33,Principal Backend Engineer,Backend,Principal,10+,"['Node.js', 'JavaScript', 'Express']",Full-time,Hybrid
job_34,Senior Backend Engineer,Backend,Senior,6-10,"['Node.js', 'Express', 'Python']",Full-time,On-site
job_35,Mid DevOps Engineer,DevOps,Mid,3-5,"['Docker', 'Kubernetes', 'AWS']",Full-time,On-site
job_36,Mid Frontend Engineer,Frontend,Mid,3-5,"['Angular', 'React', 'Vue.js']",Contract,Remote
job_37,Entry DevOps Engineer,DevOps,Entry,0-2,"['AWS', 'Docker', 'Kubernetes']",Full-time,Hybrid
job_38,Entry Full-Stack Engineer,Full-Stack,Entry,0-2,"['Node.js', 'Express', 'React']",Full-time,Hybrid
job_39,Senior Backend Engineer,Backend,Senior,6-10,"['Express', 'Node.js', 'JavaScript']",Contract,Remote
job_40,Entry Frontend Engineer,Frontend,Entry,0-2,"['React', 'Vue.js', 'Angular']",Full-time,On-site
job_41,Senior Full-Stack Engineer,Full-Stack,Senior,6-10,"['Express', 'Node.js', 'React']",Contract,Remote
job_42,Principal Full-Stack Engineer,Full-Stack,Principal,10+,"['Express', 'Angular', 'Node.js']",Contract,Remote
job_43,Mid Data Engineer,Data,Mid,3-5,"['Scikit-learn', 'NumPy', 'Pandas']",Full-time,On-site
job_44,Senior Frontend Engineer,Frontend,Senior,6-10,"['React', 'Angular', 'Vue.js']",Contract,Hybrid
job_45,Mid Full-Stack Engineer,Full-Stack,Mid,3-5,"['Angular', 'React', 'Express']",Contract,On-site
job_46,Senior Frontend Engineer,Frontend,Senior,6-10,"['Vue.js', 'Angular', 'React']",Full-time,On-site
job_47,Principal Frontend Engineer,Frontend,Principal,10+,"['Vue.js', 'Angular', 'React']",Full-time,Hybrid
job_48,Principal Frontend Engineer,Frontend,Principal,10+,"['Angular', 'React', 'Vue.js']",Full-time,On-site
job_49,Mid Data Engineer,Data,Mid,3-5,"['Scikit-learn', 'NumPy', 'Pandas']",Full-time,On-site
job_50,Mid Data Engineer,Data,Mid,3-5,"['Scikit-learn', 'Pandas', 'NumPy']",Full-time,On-site
job_51,Senior Full-Stack Engineer,Full-Stack,Senior,6-10,"['Express', 'Angular', 'Node.js']",Full-time,Hybrid
job_52,Entry Data Engineer,Data,Entry,0-2,"['NumPy', 'Pandas', 'Scikit-learn']",Full-time,Hybrid
job_53,Senior DevOps Engineer,DevOps,Senior,6-10,"['Kubernetes', 'AWS', 'Docker']",Full-time,Hybrid
job_54,Senior DevOps Engineer,DevOps,Senior,6-10,"['Kubernetes', 'Docker', 'AWS']",Contract,Remote
job_55,Principal DevOps Engineer,DevOps,Principal,10+,"['Docker', 'Kubernetes', 'AWS']",Full-time,On-site
job_56,Mid DevOps Engineer,DevOps,Mid,3-5,"['Docker', 'AWS', 'Kubernetes']",Contract,Remote
job_57,Principal Full-Stack Engineer,Full-Stack,Principal,10+,"['Angular', 'Express', 'Node.js']",Full-time,Hybrid
job_58,Senior Data Engineer,Data,Senior,6-10,"['Pandas', 'Scikit-learn', 'NumPy']",Contract,Hybrid
job_59,Entry Data Engineer,Data,Entry,0-2,"['NumPy', 'Pandas', 'Scikit-learn']",Contract,Remote
job_60,Mid DevOps Engineer,DevOps,Mid,3-5,"['Docker', 'Kubernetes', 'AWS']",Full-time,Hybrid
job_61,Principal Full-Stack Engineer,Full-Stack,Principal,10+,"['Node.js', 'Express', 'React']",Contract,Hybrid
job_62,Senior Data Engineer,Data,Senior,6-10,"['Pandas', 'NumPy', 'Scikit-learn']",Full-time,On-site
job_63,Principal DevOps Engineer,DevOps,Principal,10+,"['AWS', 'Docker', 'Kubernetes']",Contract,On-site
job_64,Entry Backend Engineer,Backend,Entry,0-2,"['Python', 'Node.js', 'Express']",Full-time,Remote
job_65,Mid Frontend Engineer,Frontend,Mid,3-5,"['Vue.js', 'Angular', 'React']",Contract,Hybrid
job_66,Entry DevOps Engineer,DevOps,Entry,0-2,"['Docker', 'AWS', 'Kubernetes']",Full-time,Hybrid
job_67,Principal DevOps Engineer,DevOps,Principal,10+,"['Docker', 'AWS', 'Kubernetes']",Full-time,Remote
job_68,Senior DevOps Engineer,DevOps,Senior,6-10,"['Kubernetes', 'Docker', 'AWS']",Full-time,Hybrid
job_69,Senior Data Engineer,Data,Senior,6-10,"['Pandas', 'NumPy', 'Scikit-learn']",Full-time,Hybrid
job_70,Mid Backend Engineer,Backend,Mid,3-5,"['Node.js', 'JavaScript', 'Express']",Full-time,Hybrid
job_71,Entry DevOps Engineer,DevOps,Entry,0-2,"['Docker', 'AWS', 'Kubernetes']",Full-time,Hybrid
job_72,Entry Data Engineer,Data,Entry,0-2,"['Pandas', 'NumPy', 'Scikit-learn']",Full-time,On-site
job_73,Senior Data Engineer,Data,Senior,6-10,"['Scikit-learn', 'Pandas', 'NumPy']",Contract,On-site
job_74,Principal Backend Engineer,Backend,Principal,10+,"['JavaScript', 'Python', 'Node.js']",Full-time,Remote
job_75,Entry Data Engineer,Data,Entry,0-2,"['Scikit-learn', 'NumPy', 'Pandas']",Contract,On-site
job_76,Principal Full-Stack Engineer,Full-Stack,Principal,10+,"['Node.js', 'Express', 'React']",Full-time,Hybrid
job_77,Principal Backend Engineer,Backend,Principal,10+,"['Node.js', 'Express', 'JavaScript']",Contract,Hybrid
job_78,Principal Data Engineer,Data,Principal,10+,"['Scikit-learn', 'Pandas', 'NumPy']",Full-time,On-site
job_79,Mid Frontend Engineer,Frontend,Mid,3-5,"['Vue.js', 'Angular', 'React']",Full-time,On-site
job_80,Principal Data Engineer,Data,Principal,10+,"['Scikit-learn', 'NumPy', 'Pandas']",Contract,On-site
job_81,Senior Full-Stack Engineer,Full-Stack,Senior,6-10,"['Node.js', 'Express', 'React']",Contract,On-site
job_82,Entry Frontend Engineer,Frontend,Entry,0-2,"['Angular', 'React', 'Vue.js']",Full-time,On-site
job_83,Mid DevOps Engineer,DevOps,Mid,3-5,"['Kubernetes', 'Docker', 'AWS']",Contract,On-site
job_84,Mid Frontend Engineer,Frontend,Mid,3-5,"['Vue.js', 'React', 'Angular']",Full-time,Hybrid
job_85,Senior Data Engineer,Data,Senior,6-10,"['NumPy', 'Pandas', 'Scikit-learn']",Full-time,Hybrid
job_86,Entry Backend Engineer,Backend,Entry,0-2,"['JavaScript', 'Python', 'Node.js']",Full-time,Hybrid
job_87,Principal Frontend Engineer,Frontend,Principal,10+,"['React', 'Vue.js', 'Angular']",Contract,Hybrid
job_88,Entry Backend Engineer,Backend,Entry,0-2,"['Node.js', 'Python', 'Express']",Full-time,Hybrid
job_89,Principal Frontend Engineer,Frontend,Principal,10+,"['Vue.js', 'React', 'Angular']",Full-time,Remote
job_90,Mid Backend Engineer,Backend,Mid,3-5,"['JavaScript', 'Express', 'Python']",Full-time,Remote
job_91,Entry Backend Engineer,Backend,Entry,0-2,"['Python', 'Express', 'Node.js']",Full-time,Remote
job_92,Entry Backend Engineer,Backend,Entry,0-2,"['JavaScript', 'Python', 'Express']",Full-time,Remote
job_93,Mid Frontend Engineer,Frontend,Mid,3-5,"['Vue.js', 'Angular', 'React']",Contract,On-site
job_94,Principal Full-Stack Engineer,Full-Stack,Principal,10+,"['React', 'Angular', 'Express']",Full-time,On-site
job_95,Senior Full-Stack Engineer,Full-Stack,Senior,6-10,"['Express', 'Angular', 'React']",Contract,Hybrid
job_96,Senior Full-Stack Engineer,Full-Stack,Senior,6-10,"['Node.js', 'Angular', 'React']",Contract,Remote
job_97,Mid Frontend Engineer,Frontend,Mid,3-5,"['React', 'Vue.js', 'Angular']",Full-time,Hybrid
job_98,Senior Backend Engineer,Backend,Senior,6-10,"['Node.js', 'JavaScript', 'Python']",Contract,Hybrid
job_99,Entry Frontend Engineer,Frontend,Entry,0-2,"['Angular', 'React', 'Vue.js']",Full-time,On-site
job_100,Senior Data Engineer,Data,Senior,6-10,"['Pandas', 'Scikit-learn', 'NumPy']",Full-time,Remote
job_101,Senior DevOps Engineer,DevOps,Senior,6-10,"['Docker', 'Kubernetes', 'AWS']",Full-time,Remote
job_102,Senior Data Engineer,Data,Senior,6-10,"['NumPy', 'Pandas', 'Scikit-learn']",Full-time,On-site
job_103,Senior Frontend Engineer,Frontend,Senior,6-10,"['React', 'Angular', 'Vue.js']",Full-time,Remote
job_104,Senior Frontend Engineer,Frontend,Senior,6-10,"['Angular', 'Vue.js', 'React']",Full-time,On-site
job_105,Mid Frontend Engineer,Frontend,Mid,3-5,"['React', 'Vue.js', 'Angular']",Full-time,Hybrid
job_106,Principal Data Engineer,Data,Principal,10+,"['Scikit-learn', 'Pandas', 'NumPy']",Contract,Hybrid
job_107,Senior Frontend Engineer,Frontend,Senior,6-10,"['React', 'Angular', 'Vue.js']",Full-time,On-site
job_108,Entry Backend Engineer,Backend,Entry,0-2,"['Python', 'Node.js', 'Express']",Contract,On-site
job_109,Principal Backend Engineer,Backend,Principal,10+,"['JavaScript', 'Express', 'Python']",Full-time,On-site
job_110,Senior Backend Engineer,Backend,Senior,6-10,"['Node.js', 'JavaScript', 'Python']",Full-time,On-site
job_111,Principal DevOps Engineer,DevOps,Principal,10+,"['Kubernetes', 'Docker', 'AWS']",Full-time,Hybrid
job_112,Principal Data Engineer,Data,Principal,10+,"['Scikit-learn', 'Pandas', 'NumPy']",Full-time,On-site
job_113,Entry DevOps Engineer,DevOps,Entry,0-2,"['AWS', 'Docker', 'Kubernetes']",Full-time,Remote
job_114,Entry DevOps Engineer,DevOps,Entry,0-2,"['Kubernetes', 'Docker', 'AWS']",Full-time,Hybrid
job_115,Mid Full-Stack Engineer,Full-Stack,Mid,3-5,"['Node.js', 'React', 'Angular']",Full-time,Hybrid
job_116,Mid Data Engineer,Data,Mid,3-5,"['Scikit-learn', 'NumPy', 'Pandas']",Contract,Remote
job_117,Principal Frontend Engineer,Frontend,Principal,10+,"['React', 'Vue.js', 'Angular']",Full-time,Hybrid
job_118,Principal Backend Engineer,Backend,Principal,10+,"['Express', 'Node.js', 'JavaScript']",Full-time,On-site
job_119,Senior Backend Engineer,Backend,Senior,6-10,"['JavaScript', 'Node.js', 'Python']",Contract,Hybrid
job_120,Mid DevOps Engineer,DevOps,Mid,3-5,"['Docker', 'AWS', 'Kubernetes']",Contract,On-site
job_121,Mid Backend Engineer,Backend,Mid,3-5,"['Python', 'JavaScript', 'Node.js']",Contract,On-site
job_122,Mid Data Engineer,Data,Mid,3-5,"['Scikit-learn', 'Pandas', 'NumPy']",Contract,Hybrid
job_123,Principal DevOps Engineer,DevOps,Principal,10+,"['Kubernetes', 'Docker', 'AWS']",Full-time,Remote
job_124,Principal Full-Stack Engineer,Full-Stack,Principal,10+,"['React', 'Angular', 'Express']",Contract,On-site
job_125,Senior DevOps Engineer,DevOps,Senior,6-10,"['AWS', 'Kubernetes', 'Docker']",Contract,On-site
job_126,Senior Full-Stack Engineer,Full-Stack,Senior,6-10,"['Node.js', 'Express', 'Angular']",Full-time,Remote
job_127,Entry Data Engineer,Data,Entry,0-2,"['Pandas', 'NumPy', 'Scikit-learn']",Full-time,On-site
job_128,Senior Data Engineer,Data,Senior,6-10,"['NumPy', 'Pandas', 'Scikit-learn']",Full-time,On-site
job_129,Mid Data Engineer,Data,Mid,3-5,"['NumPy', 'Scikit-learn', 'Pandas']",Full-time,On-site
job_130,Principal Frontend Engineer,Frontend,Principal,10+,"['Angular', 'Vue.js', 'React']",Contract,On-site
job_131,Entry Backend Engineer,Backend,Entry,0-2,"['Express', 'Node.js', 'JavaScript']",Full-time,On-site
job_132,Entry Data Engineer,Data,Entry,0-2,"['Scikit-learn', 'Pandas', 'NumPy']",Contract,Hybrid
job_133,Principal DevOps Engineer,DevOps,Principal,10+,"['Docker', 'AWS', 'Kubernetes']",Full-time,Hybrid
job_134,Principal Data Engineer,Data,Principal,10+,"['Pandas', 'Scikit-learn', 'NumPy']",Full-time,Remote
job_135,Entry Backend Engineer,Backend,Entry,0-2,"['Python', 'JavaScript', 'Express']",Full-time,Remote
job_136,Entry Frontend Engineer,Frontend,Entry,0-2,"['Vue.js', 'Angular', 'React']",Full-time,Hybrid
job_137,Principal Full-Stack Engineer,Full-Stack,Principal,10+,"['Express', 'Angular', 'Node.js']",Contract,Hybrid
job_138,Principal Data Engineer,Data,Principal,10+,"['NumPy', 'Pandas', 'Scikit-learn']",Full-time,Remote
job_139,Principal Full-Stack Engineer,Full-Stack,Principal,10+,"['Node.js', 'Angular', 'Express']",Full-time,On-site
job_140,Senior Data Engineer,Data,Senior,6-10,"['Pandas', 'NumPy', 'Scikit-learn']",Contract,Remote
job_141,Mid Data Engineer,Data,Mid,3-5,"['Pandas', 'NumPy', 'Scikit-learn']",Contract,Remote
job_142,Entry Data Engineer,Data,Entry,0-2,"['Scikit-learn', 'NumPy', 'Pandas']",Full-time,Hybrid
job_143,Senior Backend Engineer,Backend,Senior,6-10,"['JavaScript', 'Python', 'Node.js']",Full-time,Remote
job_144,Entry Full-Stack Engineer,Full-Stack,Entry,0-2,"['Angular', 'Node.js', 'React']",Contract,On-site
job_145,Entry Data Engineer,Data,Entry,0-2,"['NumPy', 'Pandas', 'Scikit-learn']",Full-time,Hybrid
job_146,Mid Data Engineer,Data,Mid,3-5,"['NumPy', 'Scikit-learn', 'Pandas']",Full-time,Remote
job_147,Senior Data Engineer,Data,Senior,6-10,"['Pandas', 'Scikit-learn', 'NumPy']",Full-time,Hybrid
job_148,Mid Full-Stack Engineer,Full-Stack,Mid,3-5,"['Angular', 'React', 'Node.js']",Full-time,On-site
job_149,Senior Frontend Engineer,Frontend,Senior,6-10,"['Vue.js', 'Angular', 'React']",Full-time,On-site
job_150,Entry DevOps Engineer,DevOps,Entry,0-2,"['Kubernetes', 'AWS', 'Docker']",Full-time,Hybrid
job_151,Entry Frontend Engineer,Frontend,Entry,0-2,"['Vue.js', 'Angular', 'React']",Full-time,Remote
job_152,Senior Full-Stack Engineer,Full-Stack,Senior,6-10,"['Node.js', 'React', 'Express']",Contract,Hybrid
job_153,Mid Backend Engineer,Backend,Mid,3-5,"['JavaScript', 'Node.js', 'Express']",Full-time,Hybrid
job_154,Principal Data Engineer,Data,Principal,10+,"['Scikit-learn', 'Pandas', 'NumPy']",Full-time,On-site
job_155,Entry Data Engineer,Data,Entry,0-2,"['NumPy', 'Scikit-learn', 'Pandas']",Full-time,Hybrid
job_156,Mid Frontend Engineer,Frontend,Mid,3-5,"['Angular', 'React', 'Vue.js']",Contract,Hybrid
job_157,Principal DevOps Engineer,DevOps,Principal,10+,"['Kubernetes', 'Docker', 'AWS']",Contract,Remote
job_158,Principal Frontend Engineer,Frontend,Principal,10+,"['Vue.js', 'React', 'Angular']",Contract,Remote
job_159,Senior Backend Engineer,Backend,Senior,6-10,"['Python', 'Node.js', 'Express']",Contract,On-site
job_160,Mid Frontend Engineer,Frontend,Mid,3-5,"['Vue.js', 'Angular', 'React']",Full-time,Hybrid
job_161,Entry Data Engineer,Data,Entry,0-2,"['Pandas', 'NumPy', 'Scikit-learn']",Full-time,Hybrid
job_162,Principal Frontend Engineer,Frontend,Principal,10+,"['Vue.js', 'Angular', 'React']",Full-time,On-site
job_163,Principal Frontend Engineer,Frontend,Principal,10+,"['Angular', 'React', 'Vue.js']",Contract,On-site
job_164,Mid DevOps Engineer,DevOps,Mid,3-5,"['AWS', 'Kubernetes', 'Docker']",Full-time,Remote
job_165,Principal Backend Engineer,Backend,Principal,10+,"['JavaScript', 'Express', 'Node.js']",Full-time,Hybrid
job_166,Senior DevOps Engineer,DevOps,Senior,6-10,"['AWS', 'Docker', 'Kubernetes']",Contract,On-site
job_167,Senior Backend Engineer,Backend,Senior,6-10,"['Node.js', 'Express', 'Python']",Full-time,On-site
job_168,Entry Backend Engineer,Backend,Entry,0-2,"['Node.js', 'JavaScript', 'Python']",Full-time,Remote
job_169,Senior DevOps Engineer,DevOps,Senior,6-10,"['Docker', 'Kubernetes', 'AWS']",Contract,On-site
job_170,Mid Frontend Engineer,Frontend,Mid,3-5,"['Vue.js', 'Angular', 'React']",Full-time,Hybrid
job_171,Principal DevOps Engineer,DevOps,Principal,10+,"['AWS', 'Kubernetes', 'Docker']",Full-time,Hybrid
job_172,Entry Frontend Engineer,Frontend,Entry,0-2,"['Vue.js', 'Angular', 'React']",Full-time,On-site
job_173,Principal Full-Stack Engineer,Full-Stack,Principal,10+,"['Node.js', 'Express', 'Angular']",Full-time,Remote
job_174,Principal DevOps Engineer,DevOps,Principal,10+,"['Docker', 'AWS', 'Kubernetes']",Full-time,Hybrid
job_175,Principal Frontend Engineer,Frontend,Principal,10+,"['Vue.js', 'Angular', 'React']",Full-time,On-site
job_176,Senior Data Engineer,Data,Senior,6-10,"['NumPy', 'Pandas', 'Scikit-learn']",Full-time,Remote
job_177,Senior DevOps Engineer,DevOps,Senior,6-10,"['Docker', 'AWS', 'Kubernetes']",Full-time,Hybrid
job_178,Entry Frontend Engineer,Frontend,Entry,0-2,"['Vue.js', 'Angular', 'React']",Full-time,On-site
job_179,Mid DevOps Engineer,DevOps,Mid,3-5,"['AWS', 'Docker', 'Kubernetes']",Full-time,Remote
job_180,Mid Data Engineer,Data,Mid,3-5,"['Pandas', 'NumPy', 'Scikit-learn']",Contract,Remote
job_181,Entry Backend Engineer,Backend,Entry,0-2,"['Node.js', 'JavaScript', 'Python']",Contract,Hybrid
job_182,Principal Backend Engineer,Backend,Principal,10+,"['JavaScript', 'Node.js', 'Python']",Full-time,Remote
job_183,Principal Frontend Engineer,Frontend,Principal,10+,"['Vue.js', 'Angular', 'React']",Contract,Remote
job_184,Senior Frontend Engineer,Frontend,Senior,6-10,"['React', 'Vue.js', 'Angular']",Contract,Remote
job_185,Principal DevOps Engineer,DevOps,Principal,10+,"['Docker', 'Kubernetes', 'AWS']",Full-time,Remote
job_186,Senior DevOps Engineer,DevOps,Senior,6-10,"['Docker', 'AWS', 'Kubernetes']",Contract,Remote
job_187,Entry Data Engineer,Data,Entry,0-2,"['Pandas', 'NumPy', 'Scikit-learn']",Contract,On-site
job_188,Entry Full-Stack Engineer,Full-Stack,Entry,0-2,"['React', 'Angular', 'Express']",Full-time,Remote
job_189,Mid Data Engineer,Data,Mid,3-5,"['Scikit-learn', 'NumPy', 'Pandas']",Full-time,Hybrid
job_190,Principal Data Engineer,Data,Principal,10+,"['Scikit-learn', 'Pandas', 'NumPy']",Full-time,Remote
job_191,Principal Backend Engineer,Backend,Principal,10+,"['Python', 'JavaScript', 'Node.js']",Full-time,Hybrid
job_192,Mid Full-Stack Engineer,Full-Stack,Mid,3-5,"['Express', 'Angular', 'React']",Contract,Hybrid
job_193,Senior Full-Stack Engineer,Full-Stack,Senior,6-10,"['Express', 'Angular', 'React']",Full-time,Hybrid
job_194,Senior Frontend Engineer,Frontend,Senior,6-10,"['Angular', 'Vue.js', 'React']",Contract,On-site
job_195,Principal Backend Engineer,Backend,Principal,10+,"['Python', 'Node.js', 'Express']",Contract,Hybrid
job_196,Senior Backend Engineer,Backend,Senior,6-10,"['Python', 'Node.js', 'Express']",Contract,Remote
job_197,Principal Data Engineer,Data,Principal,10+,"['Pandas', 'NumPy', 'Scikit-learn']",Contract,Remote
job_198,Entry Frontend Engineer,Frontend,Entry,0-2,"['Vue.js', 'React', 'Angular']",Contract,On-site
job_199,Entry DevOps Engineer,DevOps,Entry,0-2,"['AWS', 'Docker', 'Kubernetes']",Full-time,On-site
